"X0","Y0","Z0","treatments","days","L","a","b","YI","C","H"
30.57,28.57,16.8,"Blank",0,60.40024231715037,13.54883247545169,23.942641465167647,74.62933146657332,27.510378801052877,1.0558375839712977
31.53,30.84,16.14,"Blank",0,62.37233370608895,8.60049686199843,28.773126149710883,75.38910505836576,30.0310062219104,1.280342329382628
31.57,30.95,18.28,"Blank",0,62.4654025262093,8.34576627307937,24.426881526324063,67.95735056542811,25.81325930187703,1.2415677281220405
31.81,31.15,18.05,"Blank",0,62.63405517303016,8.494796713026664,25.184567464949637,69.28988764044944,26.578638219296497,1.2454785296093676
31.89,31.1,17.92,"Blank",0,62.59195984637043,8.96725651615804,25.37764899971009,70.17363344051445,26.915362865454096,1.2311379700753888
32.74,31.92,18.42,"Blank",0,63.27670967998114,9.078140495616005,25.543398343667235,70.11904761904762,27.108630245761315,1.2293183589387933
33.3,32.52,18.57,"Blank",0,63.770350729292474,8.939095018005661,26.093634282965894,70.54059040590404,27.582334379709536,1.2407491181373866
33.34,32.88,19.71,"Blank",0,64.06362671543107,7.816169845911047,24.36397923725433,66.24878345498783,25.587027872214648,1.2603602211187785
33.38,32.7,18.76,"Blank",0,63.91725778440927,8.588152979810026,25.968138070977155,69.84954128440366,27.351427137865272,1.2514006424369493
33.6,32.9,17.99,"Blank",0,64.07985692603486,8.661240891467525,27.799782219914015,72.76170212765959,29.11777782137017,1.2687700005176805
33.95,32.18,16.24,"Blank",0,63.49137376176486,12.422151782224889,30.483313701147985,81.54630205096336,32.91720323938881,1.183835532486905
33.95,33.39,19.97,"Blank",0,64.47545896986837,8.180405195571838,24.576369694201027,66.74992512728363,25.902065101257495,1.2494749545956692
33.98,33.42,20.03,"Blank",0,64.49955342010142,8.181101456823326,24.503680236180834,66.61460203470975,25.833326656933597,1.2485607302616248
34.28,33.71,20.47,"Blank",0,64.7317264660059,8.222503371000279,24.073171180351792,65.79709285078611,25.438693605698997,1.2416574927268182
34.34,33.75,18.39,"Blank",0,64.76364570486236,8.292619665699885,28.167450838684836,72.47940740740742,29.3627796311875,1.2844810420168487
34.55,32.96,17.04,"Blank",0,64.12850812690053,11.755329402379388,29.859863574062405,79.37378640776699,32.0904849140686,1.1957472201025978
34.58,34.03,20.76,"Blank",0,64.9863772649928,8.160955809135007,23.97113620863598,65.40346752865118,25.322254458314596,1.2426551596721391
34.75,34.18,21.29,"Blank",0,65.10519547713326,8.233265439217652,23.19998837030395,64.10942071386778,24.617597774251944,1.2297786503101125
34.9,34.32,20.36,"Blank",0,65.21577924641352,8.270727809202628,25.1143219034752,67.27972027972027,26.441144134951724,1.2526592613868424
35.02,34.03,19.16,"Blank",0,64.9863772649928,9.669763059117987,27.022287765209253,72.04231560387893,28.700319748833124,1.2271507123416217
