X0,Y0,Z0,treatments,days
34.66,34.35,17.90,Blank,2
32.66,32.00,15.41,Blank,2
31.65,31.10,15.54,Blank,2
29.31,28.77,14.15,Blank,2
38.15,37.23,17.39,Blank,4
35.94,35.01,16.37,Blank,4
37.09,36.62,18.66,Blank,4
32.34,31.26,14.23,Blank,4
35.69,34.75,16.11,Blank,4
42.47,42.04,20.50,Blank,4
39.79,39.13,18.52,Blank,4
40.03,39.57,19.58,Blank,4
41.43,40.95,19.98,Blank,4
42.42,42.09,20.18,Blank,4
36.55,36.17,17.94,Blank,4
36.64,36.27,18.36,Blank,4
37.17,36.76,18.27,Blank,4
34.62,34.11,16.64,Blank,4
37.58,37.08,18.05,Blank,4
36.80,36.24,17.80,Blank,4
33.98,33.45,16.90,Blank,4
35.86,35.14,16.62,Blank,4
34.63,34.00,16.62,Blank,4
34.30,33.76,16.92,Blank,4
37.10,36.63,21.77,T1130,0
39.19,38.65,21.97,T1130,0
41.11,40.87,25.26,T1130,0
41.98,42.27,29.03,T1130,0
42.08,42.35,29.18,T1130,0
42.34,42.48,28.32,T1130,0
43.33,43.59,29.61,T1130,0
43.38,43.10,25.66,T1130,0
43.80,33.97,18.72,T1130,0
43.89,44.16,29.38,T1130,0
32.64,32.10,16.48,T1130,1
37.29,37.08,19.75,T1130,1
38.07,38.06,21.32,T1130,1
35.37,35.18,18.87,T1130,1
37.71,37.58,20.29,T1130,1
34.66,34.74,19.58,T1130,1
38.66,38.93,22.39,T1130,1
37.66,37.93,21.38,T1130,1
37.12,37.43,21.65,T1130,1
40.06,40.55,23.79,T1130,1
36.09,35.67,17.85,T1130,2
36.07,35.85,18.44,T1130,2
36.39,36.29,19.44,T1130,2
37.76,37.56,19.30,T1130,2
33.75,33.25,16.79,T1130,2
38.25,38.36,20.56,T1130,2
34.92,34.84,18.45,T1130,2
35.96,36.03,19.12,T1130,2
38.39,38.57,20.67,T1130,2
37.83,37.90,20.03,T1130,2
33.49,32.71,15.23,T1130,4
37.43,36.90,17.94,T1130,4
34.56,34.23,17.50,T1130,4
34.86,34.33,16.85,T1130,4
36.83,36.21,17.16,T1130,4
34.95,34.64,17.41,T1130,4
37.42,37.14,18.64,T1130,4
36.04,35.82,18.02,T1130,4
34.22,33.78,16.44,T1130,4
37.49,37.30,18.96,T1130,4
37.11,37.60,19.94,Quercetin,0
37.28,37.99,19.58,Quercetin,0
37.52,38.04,20.05,Quercetin,0
38.21,38.79,20.48,Quercetin,0
39.20,39.82,20.68,Quercetin,0
44.60,45.31,25.73,Quercetin,0
45.25,45.78,25.93,Quercetin,0
46.09,46.94,27.12,Quercetin,0
47.16,48.37,27.17,Quercetin,0
48.16,49.47,28.61,Quercetin,0
37.34,36.67,18.46,Quercetin,1
38.84,38.34,19.62,Quercetin,1
37.16,36.32,18.11,Quercetin,1
37.80,37.27,19.02,Quercetin,1
37.67,37.05,19.10,Quercetin,1
29.34,28.82,14.91,Quercetin,1
29.13,28.45,14.87,Quercetin,1
28.93,28.18,14.29,Quercetin,1
27.91,27.19,14.07,Quercetin,1
